,loop id,section id,start node id,end node id,diameter,length,zeta,a0,a1,a2,dp total,flow rate
0,l1,s12,n1,n2,40.9,16.7,6.646,585000.0,-58700000.0,-46000000000.0,,1.696
1,l1,s22*,n2,n2*,40.9,0.1,23698.377492668984,,,,,0.212
2,l1,s2*0,n2*,n0,,,,,,,0.43200000000000005,
3,l1,s10,n1,n0,,,,,,,-2.0,
4,l2,s23,n2,n3,40.9,2.7,-0.028999999999999998,,,,,1.484
5,l2,s33*,n3,n3*,40.9,0.1,23698.377492668984,,,,,0.212
6,l2,s3*2*,n3*,n2*,,,,,,,0.265,
7,l2,s22*,n2,n2*,40.9,0.1,23698.377492668984,,,,,-0.212
8,l3,s34,n3,n4,40.9,2.7,-0.037000000000000005,,,,,1.272
9,l3,s44*,n4,n4*,40.9,0.1,23698.377492668984,,,,,0.212
10,l3,s4*3*,n4*,n3*,,,,,,,0.265,
11,l3,s33*,n3,n3*,40.9,0.1,23698.377492668984,,,,,-0.212
12,l4,s45,n4,n5,40.9,2.7,-0.048,,,,,1.06
13,l4,s55*,n5,n5*,40.9,0.1,23698.377492668984,,,,,0.212
14,l4,s5*4*,n5*,n4*,,,,,,,0.265,
15,l4,s44*,n4,n4*,40.9,0.1,23698.377492668984,,,,,-0.212
16,l5,s56,n5,n6,40.9,2.7,-0.063,,,,,0.848
17,l5,s66*,n6,n6*,40.9,0.1,23698.377492668984,,,,,0.212
18,l5,s6*5*,n6*,n5*,,,,,,,0.265,
19,l5,s55*,n5,n5*,40.9,0.1,23698.377492668984,,,,,-0.212
20,l6,s67,n6,n7,40.9,2.7,-0.07400000000000001,,,,,0.636
21,l6,s77*,n7,n7*,40.9,0.1,23698.377492668984,,,,,0.212
22,l6,s7*6*,n7*,n6*,,,,,,,0.265,
23,l6,s66*,n6,n6*,40.9,0.1,23698.377492668984,,,,,-0.212
24,l7,s78,n7,n8,40.9,2.7,0.0,,,,,0.424
25,l7,s88*,n8,n8*,40.9,0.1,23698.377492668984,,,,,0.212
26,l7,s8*7*,n8*,n7*,,,,,,,0.265,
27,l7,s77*,n7,n7*,40.9,0.1,23698.377492668984,,,,,-0.212
28,l8,s89,n8,n9,40.9,2.7,0.3,,,,,0.212
29,l8,s99*,n9,n9*,40.9,0.1,23698.377492668984,,,,,0.212
30,l8,s9*8*,n9*,n8*,,,,,,,0.265,
31,l8,s88*,n8,n8*,40.9,0.1,23698.377492668984,,,,,-0.212
